active_directory_canonical_name,device_type,protection_engine_version,encryption,domain,site_id,firewall_status,knowledge_catalog_date,reinstall_agent_requested,license_status,reinstall_protection_requested,last_connection_date,agent_version,reboot_requested,mac_addresses,type,site_name,operating_system,custom_group_folder_path,device_id,last_connection,protection_engine_update_status,host_name,security_configuration_id,knowledge_catalog_update_status,security_configuration_name,adaptive_defense_status,account_id,ip_address,isolation_state,logged_on_users_list,accumulated_protection_status,platform_id,file_antivirus_status
,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T06:34:03.133Z,1.24.02.0000,False,"['A0:D3:65:7B:26:40', '30:13:8B:E8:86:67']",2,AAPICO HITECH PCL,Windows 11 Pro (23H2),All\AAPICO\AH\AH Allow USB,fa6bb279-78e0-4823-876e-2ce8efb5f83d,2025-11-18T06:34:03.133Z,2,AHA24JIGNB0010,1d85ff1d-ba84-4808-b278-004c8ee06247,2,AAPICO Group Allow USB,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.1.55,0,['AAPICO\\jigqc'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AHA24JIGNB0010,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:57:01.965Z,1.24.02.0000,False,"['6C:2F:80:DD:C1:7A', '6E:2F:80:DD:C1:79', '6C:2F:80:DD:C1:79', '6C:0B:5E:53:C7:52']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AH\AH Allow USB,a6aabb3b-fde5-40ee-8543-b694201c2113,2025-11-18T07:57:01.965Z,2,AHA24JIGNB0010,1d85ff1d-ba84-4808-b278-004c8ee06247,2,AAPICO Group Allow USB,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.20.131,0,['AAPICO\\jakkapan.m'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AHA\Jig Design\AITS25A1NB0190,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-14T13:20:05Z,False,0,False,2025-11-15T02:07:08.405Z,1.24.02.0000,False,"['BC:CD:99:C7:BC:3A', 'BC:CD:99:C7:BC:3E', 'C4:D6:D3:7F:C7:3B']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AH\Going abroad,c0e9ec9f-2a52-4f9b-9014-24076fa0eedf,2025-11-15T02:07:08.405Z,1,AITS25A1NB0190,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.50.2.182,0,['AAPICO\\somporn.b'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AHT\Die Engineering\AITS25A1NB0310,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-17T17:21:03.925Z,1.24.02.0000,False,"['C4:D6:D3:7F:C6:9D', 'BC:CD:99:C7:BC:6B', 'BC:CD:99:C7:BC:67', '02:50:41:00:00:01']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AH\Going abroad,62b6c009-e2be-47c9-8ad2-e67e9a83837b,2025-11-17T17:21:03.925Z,1,AITS25A1NB0310,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.246.104.12,0,['AAPICO\\Piyaphong.t'],1,1,1
aapico.com\Computers\AHP25PDPC0010,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-10-30T12:05:01Z,False,0,False,2025-10-31T07:24:38.964Z,1.24.01.0000,False,"['18:3D:2D:E1:FB:7F', '38:18:68:A5:F9:3C', '38:18:68:A5:F9:38']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AH\Gate Check List,743b2573-e8f4-4458-85af-9a4c3320b996,2025-10-31T07:24:38.964Z,1,AHP25PDPC0010,84b7784e-7b6c-4f85-9ae1-bc9ff623c926,2,AAPICO Group USB Block,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.4.103,0,['AHP25PDPC0010\\assy.ahp'],1,1,1
aapico.com\Computers\AHP25PDPC0020,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-06T12:30:08Z,False,0,False,2025-11-06T13:12:23.989Z,1.24.01.0000,False,"['38:18:68:A4:DC:DC', '18:3D:2D:E1:FB:2C', '38:18:68:A4:DC:D8']",1,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AH\Gate Check List,7959b5ba-2dab-41a4-b1ce-5d11a211bca8,2025-11-06T13:12:23.989Z,2,AHP25PDPC0020,84b7784e-7b6c-4f85-9ae1-bc9ff623c926,2,AAPICO Group USB Block,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.5.13,0,['AHP25PDPC0020\\assy.ahp'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\AL18ITPC0020,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-09-29T11:40:04Z,False,0,False,2025-10-06T12:51:37.149Z,1.23.01.0000,False,"['DC:A2:66:29:98:71', '54:BF:64:71:35:5C']",1,AAPICO HITECH PCL,Windows 10 Pro 64 (21H2),All\AAPICO\AL,8415bd99-6d55-4836-9ecb-69c3e208321e,2025-10-06T12:51:37.149Z,2,AL18ITPC0020,de085123-979a-42da-8624-af56a801169d,1,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.10,0,,1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\ALPDPC102,1,8.00.22.0025,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T05:48:31.8Z,1.24.02.0000,False,['F8:BC:12:6E:BA:C2'],1,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,8bc075e5-c1af-4cf1-b221-578161be16e0,2025-11-18T05:48:31.8Z,1,ALPDPC102,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.23,0,['AAPICO\\al.store'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\AL20ITNB0030,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T08:07:22.051Z,1.24.02.0000,False,"['02:50:41:00:00:01', '36:B9:09:59:F8:93', 'B0:7B:25:51:7C:24', '44:AF:28:1B:85:31']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (2004),All\AAPICO\AL,bcee3c86-95cf-4daa-930b-58a5533a5af4,2025-11-18T08:07:22.051Z,1,AL20ITNB0030,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.25,0,['AAPICO\\al.dcc'],1,1,1
aapico.com\Managed Desktop\Domestic\AH\Personnel\ALPNPC103,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-09-29T11:40:04Z,False,0,False,2025-09-30T02:00:20.026Z,1.23.01.0000,False,['18:66:DA:03:38:77'],1,AAPICO HITECH PCL,Windows 10 Pro 64 (21H1),All\AAPICO\AL,dde66f1b-885f-40b0-82fc-e70572503c5b,2025-09-30T02:00:20.026Z,2,ALPNPC103,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.22,0,['AAPICO\\wimonrat.k'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\AH19ITNB0390,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-08-24T08:30:19Z,False,0,False,2025-09-11T02:04:15.672Z,1.23.01.0000,False,"['EC:5C:68:94:CF:F9', 'E4:54:E8:0F:0F:93', 'EC:5C:68:94:CF:FA']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,685a4757-5e34-4dea-8236-9a0f2364ce40,2025-09-11T02:04:15.672Z,2,AH19ITNB0390,de085123-979a-42da-8624-af56a801169d,1,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.12,0,,1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\AL20ITNB0020,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:59:13.54Z,1.24.02.0000,False,"['3C:9C:0F:28:8E:C0', '3C:9C:0F:28:8E:BC', 'B0:7B:25:35:60:BB']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,f303c983-b4ad-4e17-9a0d-38e6d60e13a9,2025-11-18T07:59:13.54Z,1,AL20ITNB0020,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.14,0,['AAPICO\\Jiraporn.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH23ITNB0610,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T08:03:06.207Z,1.24.02.0000,False,"['10:F6:0A:BB:71:19', 'E0:73:E7:D2:9E:2D']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,436233e0-ab72-49e6-98d7-5a86ba767b4d,2025-11-18T08:03:06.207Z,2,AH23ITNB0610,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.18,0,['AAPICO\\Pitak.b'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\AH16ITPC0005,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-09-29T11:40:04Z,False,0,False,2025-09-30T01:45:13.218Z,1.23.01.0000,False,['18:66:DA:08:90:2B'],1,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,f758a88e-c27d-4820-86b5-bebc61836208,2025-09-30T01:45:13.218Z,2,AH16ITPC0005,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.35,0,['AAPICO\\alpc'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\PC & Logistics\AH19ITNB0090,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-10-29T11:40:03Z,False,0,False,2025-10-30T04:57:54.582Z,1.24.01.0000,False,"['E4:54:E8:0F:0E:4D', 'EE:5C:FA:94:46:51', 'EC:5C:68:94:CC:AE']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,12021374-5713-4c0e-88e8-1c627a4be885,2025-10-30T04:57:54.582Z,1,AH19ITNB0090,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.55,0,['AAPICO\\kanchanaporn.pr'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\AL18ITPC0030,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-09-29T11:40:04Z,False,0,False,2025-09-30T04:50:29.94Z,1.23.01.0000,False,"['DE:A2:5E:29:DC:05', '54:BF:64:70:FE:65']",1,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,93c34b4e-3c01-4fc1-ad18-3b28f8c57307,2025-09-30T04:50:29.94Z,2,AL18ITPC0030,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.12,0,['AAPICO\\al.osp'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\ALPDNB106,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-05T12:40:03Z,False,0,False,2025-11-07T02:33:27.339Z,1.24.01.0000,False,"['E4:B9:7A:0C:48:FD', '30:24:32:7D:F1:67', '62:A0:5E:48:E0:ED']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,8db90f1a-7601-4151-9314-eee0c3ff9a4d,2025-11-07T02:33:27.339Z,1,ALPDNB106,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.20.97,0,['AAPICO\\sorradech.r'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\AH19ITNB0330,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:17:17.305Z,1.24.02.0000,False,"['EE:5C:55:95:8E:AA', 'E4:54:E8:0F:0F:99']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,31d6308b-b355-4d97-9ceb-be67eb3bf632,2025-11-18T07:17:17.305Z,2,AH19ITNB0330,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.6,0,['AAPICO\\al.receiving'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Maintenance\AL18ITPC0040,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-09-29T11:40:04Z,False,0,False,2025-09-30T03:20:36.716Z,1.23.01.0000,False,"['DC:A2:66:29:98:4B', '54:BF:64:69:B9:5F', 'DC:A2:66:29:98:4C']",1,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,e8bd3174-7bb8-4a24-a0d9-8e4bb96db67b,2025-09-30T03:20:36.716Z,2,AL18ITPC0040,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.16,0,['AAPICO\\lalida.w'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\ALPDNB105-1,2,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-06T12:30:08Z,False,0,False,2025-11-07T03:34:21.798Z,1.24.01.0000,False,"['DC:53:60:D9:2C:B3', '44:A8:42:F4:DD:3C', 'DC:53:60:D9:2C:B7']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,ecfac436-b094-49fa-bba9-0977f046dd74,2025-11-07T03:34:21.798Z,1,ALPDNB105-1,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.20.141,0,,1,1,1
aapico.com\Managed Desktop\Domestic\AL\QA & QC\ALQAPC110,1,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T08:10:10.938Z,1.24.02.0000,False,['50:9A:4C:45:0D:05'],1,AAPICO HITECH PCL,Windows 10 Pro 64 (21H2),All\AAPICO\AL,29b6b8f9-b72c-4e8b-bcf8-73cd1c357770,2025-11-18T08:10:10.938Z,2,ALQAPC110,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.46,0,['AAPICO\\winai.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AL\Production\ALQAPC111,1,8.00.24.0001,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T08:08:43.977Z,1.24.02.0000,False,"['30:DE:4B:E1:0A:DC', '50:9A:4C:45:0D:95']",1,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,72fc4839-d358-499a-b613-6e4c399f4e1e,2025-11-18T08:08:43.977Z,3,ALQAPC111,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.48,0,['AAPICO\\al.logistics'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AH23ITNB0580,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:58:21.208Z,1.24.02.0000,False,"['10:F6:0A:B9:36:06', '00:E0:4C:36:00:62', 'E0:73:E7:D2:9E:96', '10:F6:0A:B9:36:0A']",2,AAPICO HITECH PCL,Windows 10 Pro 64 (22H2),All\AAPICO\AL,6b774fdd-aa3b-4652-8238-713ae5a1bb38,2025-11-18T07:58:21.208Z,2,AH23ITNB0580,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.44,0,['AAPICO\\Kowit.s'],1,1,1
aapico.com\Managed Desktop\Domestic\AzureAD Hybrid Joined Devices\AL\AITS25A1NB0330,2,8.00.25.0002,0,aapico.com,f6e959fd-88be-403b-8bf1-7e4f021305c6,1,2025-11-17T14:20:08Z,False,0,False,2025-11-18T07:30:30.165Z,1.24.02.0000,False,"['BC:CD:99:C7:BC:1C', 'BC:CD:99:C7:BC:20', 'C4:D6:D3:7F:C6:81']",2,AAPICO HITECH PCL,Windows 11 Pro (24H2),All\AAPICO\AL,fbd67c9f-98c7-4f93-9a22-53adae10d8bf,2025-11-18T07:30:30.165Z,2,AITS25A1NB0330,de085123-979a-42da-8624-af56a801169d,2,AAPICO Group,1,e7ef9590-6b97-481c-9f47-c926ae659fa6,10.10.28.27,0,['AAPICO\\nonthakorn.p'],1,1,1
